"Access denied.","접속 제한."
"Can not find webservice adapter.","Can not find webservice adapter."
"Client Session Timeout (sec.)","세션 타임아웃(초)"
"Default Response Charset","기본 문자인코딩"
"Email","이메일"
"Enable WSDL Cache","WSDL캐시 활성화"
"General Settings","일반 설정"
"Invalid webservice adapter specified.","Invalid webservice adapter specified."
"Invalid webservice handler specified.","Invalid webservice handler specified."
"Magento Core API","마젠토 Core API"
"Magento Core API Section","Magento Core API Section"
"SOAP/XML-RPC - Roles","SOAP/XML-RPC - Roles"
"SOAP/XML-RPC - Users","SOAP/XML-RPC - Users"
"Unable to login.","Unable to login."
"User Name","사용자 명"
"WS-I Compliance","WS-I 압축"
"Web Services","Web Services"
"Your account has been deactivated.","당신의 계정은 비활성화 되었습니다."
