"<strong>Attention</strong>: Captcha is case sensitive.","<strong>주의</strong>: 대소문자를 구별 합니다."
"After number of attempts to login","After number of attempts to login"
"Always","Always"
"CAPTCHA","캡챠"
"CAPTCHA Timeout (minutes)","캡챠 제한시간 (분)"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen","선택시 신규가입과 비밀번호 재발급시 항상 활성화 됩니다."
"Case Sensitive","대소문자 구별"
"Displaying Mode","노출 모드"
"Enable CAPTCHA in Admin","관리자 페이지에 캡챠 활성화"
"Enable CAPTCHA on Frontend","프론트 페이지에 캡챠 활성화"
"Font","폰트"
"Forms","Forms"
"If 0 is specified, CAPTCHA on the Login form will be always available.","0으로 설정하시면, 로그인시 캡챠가 항상 활성화 됩니다."
"Incorrect CAPTCHA.","캡챠가 일치하지 않습니다."
"Number of Symbols","문자수"
"Number of Unsuccessful Attempts to Login","Number of Unsuccessful Attempts to Login"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","Please specify 8 symbols at the most. Range allowed (e.g. 3-5)"
"Please type the letters below","아래 글씨를 입력해 주시기 바랍니다."
"Please type the letters from the image:","이미지의 글씨를 입력하여 주시기 바랍니다.:"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","입력 가능한 문자는 a-z 나 A-Z와 숫자(0-9)만 가능합니다. 공백이나 다른 문자는 허용되지 않습니다.<br /> 비슷해보이는 문자는 (e.g. ""i"", ""l"", ""1"") 지향해야 합니다."
"Reload captcha","캡챠 다시 읽기"
"Symbols Used in CAPTCHA","캡챠에 사용된 문자"
