"%s and greater","%s and greater"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d개 상품</strong> 이 검색되었습니다."
"Advanced Search","상세검색"
"Advanced Search Form","상세검색 Form"
"Advanced Search Result","상세검색 결과"
"All","All"
"Applies for ""Like"" search type only.","Applies for ""Like"" search type only."
"Apply Layered Navigation if Search Results are Less Than","Apply Layered Navigation if Search Results are Less Than"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process.","상품검색 인덱스의 속성이 변경 되었습니다. <a href=""%s"">상품검색 인덱스 재생성</a> 를 실행하십시오."
"Autogenerated Site Map","자동생성 사이트 맵"
"Catalog Advanced Search","상품 상세 검색"
"Catalog Search","상품 검색"
"Catalog Search Index","상품 검색 인덱스"
"Don't see what you're looking for?","찾으시는 상품이 아닙니까?"
"Enter ""0"" to enable layered navigation for any number of results.","Enter ""0"" to enable layered navigation for any number of results."
"Go","Go"
"Go to Home Page","홈페이지 가기"
"Grid","그리드"
"Home","홈"
"List","List"
"Maximum Query Length","최대 검색어"
"Maximum Query Words Count","최대 검색어 단어수"
"Maximum Search query length is %s. Your query was cut.","최대 검색어는 %s 입니다. 일부 검색어가 제외됩니다."
"Maximum words count is %1$s. In your search query was cut next part: %2$s.","최대 검색어 단어수는 %1$s 입니다. 다음의 단어 이후 검색어가 제외됩니다 : %2$s."
"Minimal Query Length","최소 검색어"
"Minimum Search query length is %s","최소 검색어는 %s 입니다."
"Modify your search","검색 수정"
"No","아니오"
"No items were found using the following search criteria.","검색하신 상품이 없습니다."
"Please specify at least one search term.","Please specify at least one search term."
"Popular Search Terms","Popular Search Terms"
"Quick Search Form","빠른 검색 Form"
"Rebuild Catalog product fulltext search index","Rebuild Catalog product fulltext search index"
"Relevance","Relevance"
"Results","결과"
"Search","검색"
"Search Settings","검색 설정"
"Search Terms","검색어"
"Search Type","검색 타입"
"Search entire store here...","모든 상품 검색..."
"Search results for '%s'","Search results for '%s'"
"Search results for: '%s'","Search results for: '%s'"
"Search:","검색:"
"Specified date is invalid.","날짜형식이 잘못되었습니다."
"Subscribe to Feed","Subscribe to Feed"
"There are no search terms available.","검색어의 검색결과가 없습니다."
"Yes","예"
"Your search returns no results.","검색하신 상품이 없습니다."
"up to %s","up to %s"
