"Collected Files Count","Collected Files Count"
"Compilation","Compilation"
"Compilation State","Compilation State"
"Compilation error","Compilation error"
"Compiled","Compiled"
"Compiled Scopes Count","Compiled Scopes Count"
"Compiler Status","Compiler Status"
"Compiler include path is disabled.","Compiler include path is disabled."
"Compiler include path is enabled.","Compiler include path is enabled."
"Directory ""%s"" must be writeable","Directory ""%s"" must be writeable"
"Disable","Disable"
"Disabled","비활성화"
"Enable","Enable"
"Enabled","Enabled"
"File ""%s"" must be writeable","File ""%s"" must be writeable"
"Not Compiled","Not Compiled"
"Run Compilation Process","Run Compilation Process"
"Scopes Compilation Settings","Scopes Compilation Settings"
"System","시스템"
"The compilation has completed.","The compilation has completed."
"Tools","도구"
