" Copy"," Copy"
"Action","Action"
"Add New Template","Add New Template"
"Add to Queue","Add to Queue"
"Allow Guest Subscription","Allow Guest Subscription"
"An error occurred while saving your subscription.","An error occurred while saving your subscription."
"Are you sure that you want to delete this template?","Are you sure that you want to delete this template?"
"Are you sure that you want to strip all tags?","Are you sure that you want to strip all tags?"
"Back","Back"
"Cancel","Cancel"
"Cancelled","Cancelled"
"Cannot mark as received subscriber.","Cannot mark as received subscriber."
"Confirmation Email Sender","Confirmation Email Sender"
"Confirmation Email Template","Confirmation Email Template"
"Confirmation request has been sent.","Confirmation request has been sent."
"Convert to Plain Text","Convert to Plain Text"
"Create Newsletter Template","Create Newsletter Template"
"Customer","고객"
"Customer First Name","Customer First Name"
"Customer Last Name","Customer Last Name"
"Customer My Account Newsletter Subscriptions","Customer My Account Newsletter Subscriptions"
"Date Added","Date Added"
"Date Updated","Date Updated"
"Delete","삭제"
"Delete Selected Problems","Delete Selected Problems"
"Delete Template","Delete Template"
"Do you really want to cancel the queue?","Do you really want to cancel the queue?"
"Duplicate template code.","Duplicate template code."
"Edit Newsletter","Edit Newsletter"
"Edit Newsletter Template","Edit Newsletter Template"
"Edit Queue","Edit Queue"
"Edit Template","Edit Template"
"Email","Email"
"Enter your email address","Enter your email address"
"Error Code","Error Code"
"Error Text","Error Text"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"Guest","Guest"
"ID","ID"
"Invalid queue selected.","Invalid queue selected."
"Invalid subscription ID.","Invalid subscription ID."
"Invalid subscription confirmation code.","Invalid subscription confirmation code."
"Message","Message"
"Need to Confirm","Need to Confirm"
"New Newsletter Template","신규 뉴스레터 템플릿"
"New Template","신규 템플릿"
"Newsletter","뉴스레터"
"Newsletter Message Preview","뉴스레터 메시지 미리보기"
"Newsletter Problem Reports","뉴스레터 문제 보고서"
"Newsletter Queue","뉴스레터 큐"
"Newsletter Section","Newsletter Section"
"Newsletter Sign-up:","Newsletter Sign-up:"
"Newsletter Styles","Newsletter Styles"
"Newsletter Subscribers","뉴스레터 구독관리"
"Newsletter Subscription","뉴스레터 구독"
"Newsletter Subscription Form Before","Newsletter Subscription Form Before"
"Newsletter Subscriptions","뉴스레터 구독관리"
"Newsletter Templates","뉴스래터 템플릿"
"Newsletter subscription confirmation","Newsletter subscription confirmation"
"Newsletter subscription success","뉴스레터 구독 성공"
"Newsletter unsubscription success","뉴스레터 구독 취소 성공"
"No Templates Found","템플릿을 찻을 수 없습니다."
"No problems found.","문제점을 찾을 수 없습니다."
"No subscribers selected.","구독자를 선택하십시오."
"Not Activated","비횔성"
"Not Sent","미전송"
"Pause","Pause"
"Paused","Paused"
"Please enter a valid email address.","유효한 이메일을 입력 부탁드립니다."
"Please enter new template name","신규 템플릿명을 입력바랍니다."
"Please refer to exeption.log","exeption.log 를 참조 바랍니다."
"Please select subscriber(s)","구독자를 선택하시기 바랍니다."
"Preview","미리보기"
"Preview Template","템플릿 미리보기"
"Processed","진행됨"
"Queue Date Start","큐 시작일"
"Queue Finish","큐 종료일"
"Queue Information","큐 정보"
"Queue Newsletter...","뉴스레터 큐..."
"Queue Start","큐 시작"
"Queue Subject","Queue Subject"
"Recipients","Recipients"
"Reset","Reset"
"Resume","Resume"
"Return HTML Version","Return HTML Version"
"Save As","다른이름으로 저장"
"Save Newsletter","뉴스레터 저장"
"Save Template","템플릿 저장"
"Save and Resume","저장후 계속"
"Selected problem subscribers have been unsubscribed.","Selected problem subscribers have been unsubscribed."
"Selected problems have been deleted.","Selected problems have been deleted."
"Sender","전송자"
"Sender Email","보내는 메일"
"Sender Name","보내는 이름"
"Sending","보내기"
"Sent","보냄"
"Sign Up for Our Newsletter:","뉴스레터에 가입 하세요:"
"Sign up for our newsletter","뉴스레터에 가입 하세요"
"Sorry, but administrator denied subscription for guests. Please <a href=""%s"">register</a>.","Sorry, but administrator denied subscription for guests. Please <a href=""%s"">register</a>."
"Start","시작"
"Status","상태"
"Store","Store"
"Store View","Store View"
"Subject","Subject"
"Submit","Submit"
"Subscribe","Subscribe"
"Subscribed","Subscribed"
"Subscriber","Subscriber"
"Subscribers","Subscribers"
"Subscribers From","Subscribers From"
"Subscription Options","Subscription Options"
"Success Email Sender","Success Email Sender"
"Success Email Template","Success Email Template"
"Template Content","Template Content"
"Template Information","Template Information"
"Template Name","Template Name"
"Template Styles","Template Styles"
"Template Subject","Template Subject"
"Template Type","Template Type"
"Thank you for your subscription.","Thank you for your subscription."
"The subscription has been removed.","The subscription has been removed."
"The subscription has been saved.","The subscription has been saved."
"There was a problem with the subscription.","There was a problem with the subscription."
"There was a problem with the subscription: %s","There was a problem with the subscription: %s"
"There was a problem with the un-subscription.","There was a problem with the un-subscription."
"This email address is already assigned to another user.","This email address is already assigned to another user."
"Type","Type"
"Unconfirmed","Unconfirmed"
"Unsubscribe","Unsubscribe"
"Unsubscribe Selected","Unsubscribe Selected"
"Unsubscribed","Unsubscribed"
"Unsubscription Email Sender","Unsubscription Email Sender"
"Unsubscription Email Template","Unsubscription Email Template"
"View Newsletter","View Newsletter"
"Website","Website"
"You have been unsubscribed.","You have been unsubscribed."
"Your subscription has been confirmed.","Your subscription has been confirmed."
