"""Remember Me"" Default Value","""Remember Me"" Default Value"
"(Not %s?)","(Not %s?)"
"* Required Fields","* 필수 입력"
"Address","Address"
"Address Information","Address Information"
"Already registered?","Already registered?"
"Back","Back"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more."
"Cannot load configuration from file %s.","Cannot load configuration from file %s."
"Checkout as Guest","Checkout as Guest"
"Checkout as a Guest or Register","Checkout as a Guest or Register"
"City","City"
"Clear Persistence on Log Out","Clear Persistence on Log Out"
"Close","Close"
"Company","Company"
"Confirm Password","Confirm Password"
"Continue","Continue"
"Country","Country"
"Create an Account","Create an Account"
"Easy access to your order history and status","Easy access to your order history and status"
"Email Address","Email Address"
"Enable ""Remember Me""","Enable ""Remember Me"""
"Enable Persistence","Enable Persistence"
"Fast and easy check out","Fast and easy check out"
"Fax","Fax"
"Forgot Your Password?","Forgot Your Password?"
"Forgot your password?","Forgot your password?"
"General Options","General Options"
"If you have an account with us, please log in.","If you have an account with us, please log in."
"Loading next step...","Loading next step..."
"Login","Login"
"Login Information","로그인 정보"
"Login or Create an Account","로그인 혹은 계정등록"
"New Customers","신규고객"
"Password","비밀번호"
"Persist Shopping Cart","Persist Shopping Cart"
"Persistence Lifetime (seconds)","Persistence Lifetime (seconds)"
"Persistent Shopping Cart","Persistent Shopping Cart"
"Personal Information","Personal Information"
"Please log in below:","Please log in below:"
"Please select region, state or province","Please select region, state or province"
"Register","Register"
"Register and save time!","Register and save time!"
"Register to Create an Account","Register to Create an Account"
"Register with us for future convenience:","Register with us for future convenience:"
"Registered Customers","Registered Customers"
"Please enter the following information to create your account.","계정생성을 위해 아래 정보를 입력하여 주시기 바랍니다."
"Remember Me","Remember Me"
"Save in address book","주소록에 저장"
"Select State/Province...","Select State/Province..."
"Select a billing address from your address book or enter a new address.","Select a billing address from your address book or enter a new address."
"Ship to different address","Ship to different address"
"Ship to this address","Ship to this address"
"Shopping cart has been updated with appropriate prices","Shopping cart has been updated with appropriate prices"
"Sign Up for Newsletter","Sign Up for Newsletter"
"State/Province","State/Province"
"Street Address","Street Address"
"Street Address %s","Street Address %s"
"Submit","Submit"
"Telephone","전화번호"
"To proceed to Checkout, please log in using your email address.","결제하기로 진행하시려면 이메일 주소로 로그인하시기 바랍니다."
"VAT Number","VAT 번호"
"Welcome, %s!","어서오세요, %s!"
"What\'s this?","What\'s this?"
"Zip/Postal Code","우편번호"
