"%d Review(s)","%d 리뷰"
"%s Review(s)","%s 리뷰"
"(Posted on %s)","(%s 등록됨)"
"1 star","1 star"
"2 stars","2 stars"
"3 stars","3 stars"
"4 stars","4 stars"
"5 stars","5 stars"
"<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s %3$s</a> <a href=""mailto:%4$s"">(%4$s)</a>","<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s %3$s</a> <a href=""mailto:%4$s"">(%4$s)</a>"
"Add New Review","신규 리뷰 등록"
"Add Your Review","내 리뷰등록"
"Administrator","관리자"
"All Reviews","모든리뷰"
"All Reviews of Customer `%s`","모든 고객 리뷰 `%s`"
"All Reviews of Product `%s`","모든 상품 리뷰 `%s`"
"Allow Guests to Write Reviews","비회원 리뷰 등록 허용"
"Approved","Approved"
"Are you sure you want to do this?","이 작업을 수행 하시겠습니까?"
"Are you sure?","확실하십니까?"
"Average Customer Rating","Average Customer Rating"
"Average Customer Rating:","Average Customer Rating:"
"Back","Back"
"Back to Main Product Info","상품 정보로 이동"
"Back to My Reviews","내 리뷰로 이동"
"Back to Product Reviews","상품 리뷰로 이동"
"Be the first to review this product","처음으로 평가해 보세요."
"Catalog Product Review View","상품리뷰 보기"
"Catalog Product Reviews List","상품리뷰 목록"
"Created On","생성일"
"Customer","고객"
"Customer My Account Product Reviews","Customer My Account Product Reviews"
"Customer My Account Review Details","Customer My Account Review Details"
"Customer Reviews","고객 리뷰"
"Customers Reviews","고객 리뷰"
"Delete","삭제"
"Delete Review","리뷰삭제"
"Detailed Rating","평가 상세보기"
"Edit Review '%s'","리뷰 수정 '%s'"
"Guest","비회원"
"How do you rate this product?","어떻게 평가 하시겠습니까?"
"ID","ID"
"Manage Ratings","평가 관리"
"My Product Reviews","내 상품 리뷰"
"My Recent Reviews","내 최근 리뷰"
"Name","이름"
"Name in Store","상점내 이름"
"New Review","신규 리뷰"
"Nickname","별명"
"Nickname can\'t be empty","별명은 필수값 입니다"
"Not Approved","Not Approved"
"Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>","Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>"
"Pending","대기"
"Pending Reviews","대기중 리뷰"
"Pending Reviews of Customer `%s`","Pending Reviews of Customer `%s`"
"Please select a product","상품을 선택하시기 바랍니다."
"Please select one of each of the ratings above","Please select one of each of the ratings above"
"Posted By","등록자"
"Price","가격"
"Product","상품"
"Product Name","상품명"
"Product Rating","상품 평가"
"Product Rating:","상품 평가:"
"Product Review (submitted on %s):","상품 리뷰 (%s 등록):"
"Product Reviews","상품 리뷰"
"Product SKU","상품 SKU"
"Products Reviews","상품 리뷰"
"Qty","수량"
"Rating:","평가:"
"Review","리뷰"
"Review (submitted on %s):","리뷰 (%s 등록):"
"Review Details","상세 리뷰"
"Review Form Fields Before","Review Form Fields Before"
"Review by <span>%s</span>","<span>%s</span>님의 리뷰"
"Review can\'t be empty","리뷰는 필수 값 입니다."
"Review summary can\'t be empty","리뷰 요약은 필수 값 입니다."
"Reviews and Ratings","리뷰와 평가"
"SKU","SKU"
"Save Review","리뷰 저장"
"Status","상태"
"Submit Review","리뷰 등록"
"Summary Rating","요약 평가"
"Summary of Review","요약 리뷰"
"Summary of Your Review","리뷰 요약"
"Title","제목"
"Type","Type"
"Unable to post the review.","Unable to post the review."
"Update Status","상태변경"
"View All Reviews","모든 리뷰 보기"
"View Details","상세 보기"
"Visible In","Visible In"
"Websites","웹사이트"
"Write Your Own Review","고객님의 리뷰를 등록 하세요."
"You have submitted no reviews.","등록된 리뷰가 없습니다."
"You're reviewing:","You're reviewing:"
"Your Rating:","고객님의 평가:"
"Your Review (submitted on %s):","고객님의 리뷰 (%s 등록):"
"Your review has been accepted for moderation.","리뷰를 등록해 주셔서 감사합니다."
