"'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and not longer than %d.","'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and not longer than %d."
"-- Please Select --","-- Please Select --"
"Add New Class","Add New Class"
"Add New Tax Rate","Add New Tax Rate"
"Add New Tax Rule","Add New Tax Rule"
"After Discount","After Discount"
"An error occurred while deleting this rate.","An error occurred while deleting this rate."
"An error occurred while deleting this rate. Incorrect rate ID.","An error occurred while deleting this rate. Incorrect rate ID."
"An error occurred while deleting this tax class.","An error occurred while deleting this tax class."
"An error occurred while deleting this tax rule.","An error occurred while deleting this tax rule."
"An error occurred while saving this tax class.","An error occurred while saving this tax class."
"An error occurred while saving this tax class. A class with the same name","An error occurred while saving this tax class. A class with the same name"
"Apply Customer Tax","사용자 세금 적용"
"Apply Discount On Prices","가격할인 적용"
"Apply Tax On","세금 적용된 "
"Apply discount on price including tax is calculated based on store tax, if ""Apply Tax after Discount"" is selected.","Apply discount on price including tax is calculated based on store tax, if ""Apply Tax after Discount"" is selected."
"Are you sure you want to do this?","이 작업을 수행 하시겠습니까?"
"Back","돌아가기"
"Before Discount","할인전"
"CSV","CSV"
"Calculate off subtotal only","계산하지 않은 부분합 전용"
"Calculation Settings","계산 설정"
"Catalog Prices","Catalog Prices"
"Class Name","Class 명"
"Click here to go to <a href=""%s"">Tax configuration</a> and change your settings.","<a href=""%s"">세금구성</a>을 변경 하시려면 클릭하세요."
"Code","Code"
"Country","Country"
"Custom price if available","사용자 가격 (가능시)"
"Customer Tax Class","사용자 세금 Class"
"Customer Tax Class Information","사용자 세금 Class 정보"
"Customer Tax Classes","사용자 세금 Classes"
"Default Country","기본 국가"
"Default Post Code","기본 우편번호"
"Default State","기본 상태"
"Default Tax Destination Calculation","Default Tax Destination Calculation"
"Delete Class","Class 삭제"
"Delete Rate","비율 삭제"
"Delete Rule","규칙 삭제"
"Display Full Tax Summary","세금 상세내역 요약 노출"
"Display Prices","노출 가격"
"Display Product Prices In Catalog","상품정보에서 가격 노출"
"Display Shipping Amount","배송비 노출"
"Display Shipping Prices","배송비 노출"
"Display Subtotal","부분합 노출"
"Display Zero Tax Subtotal","면세 부분합 노출"
"Edit Class","Class 수정"
"Edit Class '%s'","Class 수정 '%s'"
"Edit Rule","규칙 수정"
"Edit Tax Rate","세금 비율 수정"
"Excel XML","Excel XML"
"Excl. Tax","세금 미포함"
"Excl. Tax:","세금 미포함:"
"Excluding Tax","세금 미포함"
"Export Tax Rates","세금 비율 내보내기"
"Grand Total (Excl. Tax)","총 합계 (세금 미포함)"
"Grand Total (Excl.Tax)","총 합계 (세금 미포함)"
"Grand Total (Incl. Tax)","총 합계 (세금 포함)"
"Grand Total (Incl.Tax)","총 합계 (세금 포함)"
"Grand Total Excl. Tax","총 합계 세금 미포함"
"Grand Total Incl. Tax","총 합계 세금 포함"
"Ignore this notification","Ignore this notification"
"Import / Export Tax Rates","세금 비율 가져오기 / 내보내기"
"Import Tax Rates","세금 비율 가져오기"
"Inc. Tax","Inc. Tax"
"Incl. Tax","Incl. Tax"
"Incl. Tax:","Incl. Tax:"
"Include Tax In Grand Total","세금 포함 총 합계"
"Including Tax","Including Tax"
"Including and Excluding Tax","Including and Excluding Tax"
"Invalid file format upload attempt","Invalid file format upload attempt"
"Invalid file upload attempt","Invalid file upload attempt"
"Manage Customer Tax Classes","Manage Customer Tax Classes"
"Manage Product Tax Classes","Manage Product Tax Classes"
"Manage Tax Rates","세율관리"
"Manage Tax Rules","세금 설정 정책 관리"
"Manage Tax Zones & Rates","세율 및 과세 지역 관리"
"Maximum zip code length is 9.","Maximum zip code length is 9."
"Name","이름"
"New Class","신규 Class"
"New Rule","신규 규칙"
"New Tax Rate","신규 세금 규칙"
"No","No"
"None","None"
"One of the country has invalid code.","One of the country has invalid code."
"Orders, Invoices, Credit Memos Display Settings","Orders, Invoices, Credit Memos Display Settings"
"Original price only","Original price only"
"Please fill all required fields with valid information.","Please fill all required fields with valid information."
"Please see <a href=""%s"">source</a> for more details.","Please see <a href=""%s"">source</a> for more details."
"Price Display Settings","Price Display Settings"
"Priority","Priority"
"Product Tax Class","상품 세금 Class"
"Product Tax Class Information","상품 세금 Class 정보"
"Product Tax Classes","상품 세금 Classes"
"Range From","Range From"
"Range To","Range To"
"Range To should be equal or greater than Range From.","Range To should be equal or greater than Range From."
"Rate","비율"
"Rate Percent","비율 퍼센트"
"Rate Percent should be a positive number.","비율 퍼센트는 0보다큰 숫자만 가능합니다."
"Reset","Reset"
"Row Total","열 합계"
"Sales","Sales"
"Save Class","Class 저장"
"Save Rate","비율 저장"
"Save Rule","규칙 저장"
"Save and Continue Edit","저장하고 계속 편집하기"
"Shipping & Handling (Excl.Tax)","배송 & 처리 (세금 미포함)"
"Shipping & Handling (Incl.Tax)","배송 & 처리 (세금 포함)"
"Shipping & Handling Tax","배송 & 처리 세금"
"Shipping (Excl. Tax)","배송 (세금 미포함)"
"Shipping (Incl. Tax)","배송 (세금 포함)"
"Shipping Excl. Tax (%s)","배송 세금 미포함 (%s)"
"Shipping Incl. Tax (%s)","배송 세금 포함 (%s)"
"Shipping Prices","배송비"
"Shopping Cart Display Settings","장바구니 노출 설정"
"Sort Order","정렬순서"
"State","상태"
"State/Region","State/Region"
"Subtotal (Excl. Tax)","부분합 (세금 미포함)"
"Subtotal (Excl.Tax)","부분합 (세금 미포함)"
"Subtotal (Incl. Tax)","부분합 (세금 포함)"
"Subtotal (Incl.Tax)","부분합 (세금 포함)"
"Subtotal only","부분합 전용"
"Tax","세금"
"Tax Calculation Based On","Tax Calculation Based On"
"Tax Calculation Method Based On","Tax Calculation Method Based On"
"Tax Class for Shipping","배송을 위한 세금 Class"
"Tax Classes","세금 Classes"
"Tax Identifier","세금 Identifier"
"Tax Rate","세금 비율"
"Tax Rate Information","세금 비율 정보"
"Tax Rule Information","세금 규칙 정보"
"Tax Rules","세금 규칙"
"Tax Section","세금 항목"
"Tax Titles","세금 제목"
"Tax rate cannot be removed. It exists in tax rule","세금 비율을 삭제할 수 없습니다. 이 비율이 세금 규칙안에 존재합니다."
"Tax rates at the same priority are added, others are compounded.","Tax rates at the same priority are added, others are compounded."
"The tax class has been deleted.","세금 class가 삭제되었습니다."
"The tax class has been saved.","세금 class가 저장되었습니다."
"The tax rate has been deleted.","세금 비율이 삭제되었습니다."
"The tax rate has been imported.","세금 비율 가져오기가 완료되었습니다."
"The tax rate has been saved.","세금 비율이 저장되었습니다."
"The tax rule has been deleted.","세금 비율이 삭제되었습니다."
"This class no longer exists","이 class는 더이상 존재하지 않습니다"
"This rule no longer exists","이 규칙은 더이상 존재하지 않습니다"
"This rule no longer exists.","이 규칙은 더이상 존재하지 않습니다."
"Total","합계"
"Unit Price","Unit Price"
"Warning tax configuration can result in rounding errors","경고, 세금 설정은 반올림오류가 생길수 있습니다."
"Warning tax configuration can result in unexpected FPT prices on applicable devices","경고, 세금 설정은 실행되는 장치에서 의도되지 않은 FPT 가격 이 있습니다."
"Warning tax discount configuration might result in different discounts than a customer might expect","경고, 세금할인 설정은 고객이 의도한 것보다 다른 방식으로 할인 됩니다."
"Whether catalog prices entered by admin include tax.","Whether catalog prices entered by admin include tax."
"Whether shipping amounts entered by admin or obtained from gateways include tax.","Whether shipping amounts entered by admin or obtained from gateways include tax."
"Yes","예"
"You cannot delete this tax class as it is used for %d customer groups.","%d 고객그룹에서 사용중인 이 세금 class는 삭제될 수 없습니다."
"You cannot delete this tax class as it is used for %d products.","%d 상품에서 사용중인 이 세금 class는 삭제될 수 없습니다."
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","세금 규칙에 사용중인 이 세금 class는 삭제될 수 없습니다. 이 규칙을 먼저 삭제하시고 시도하십시오."
"Zip code should not contain characters other than digits.","우편번호는 숫자이외의 값을 포함할 수 없습니다."
"Zip/Post Code","우편번호"
"Zip/Post is Range","우편번호 범위안"
"for store(s)","for store(s)"
